message,label
normal	Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
fraud	WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk
normal	I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love
normal	Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone
normal	If we hit it off, you can move in with me :)
normal	Aight, I'll ask a few of my roommates
normal	Now, whats your house # again ? And do you have any beer there ?
fraud	Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX
fraud	FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV
fraud	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate 
normal	Sir, i am waiting for your call.
normal	It could work, we'll reach a consensus at the next meeting
normal	Aight, I'll text you when I'm back
normal	Sorry, I can't help you on this.
normal	Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(
normal	Uh, heads up we don't have THAT much left
normal	Aight, sounds good. When do you want me to come down?
normal	Sorry, I'll call later
normal	There're some people by mu, I'm at the table by lambda
normal	Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!
"normal	My planning usually stops at ""find hella weed"," smoke hella weed"""
"normal	The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do"," not what i need to do."""
normal	Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu
normal	Aight I'll grab something to eat too, text me when you're back at mu
normal	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
normal	Sorry, I'll call later
normal	Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; 
normal	Sorry, I'll call later
"normal	""YEH I AM DEF UP4 SOMETHING SAT","JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"""
normal	Goodmorning, today i am late for  &lt;DECIMAL&gt; min.
normal	Princess, is your kitty shaved or natural?
normal	Better than bb. If he wont use it, his wife will or them doctor
normal	I don't have anybody's number, I still haven't thought up a tactful way to ask alex
normal	Yes obviously, but you are the eggs-pert and the potato head… Speak soon! 
normal	Nah man, my car is meant to be crammed full of people
normal	Ugh y can't u just apologize, admit u were wrong and ask me to take u back?
normal	I noe la... U wana pei bf oso rite... K lor, other days den...
normal	Yes, i'm small kid.. And boost is the secret of my energy..
normal	Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.
normal	Me not waking up until 4 in the afternoon, sup
normal	Aight fuck it, I'll get it later
normal	Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...
normal	Sir, I am waiting for your mail.
normal	Nothing, i got msg frm tht unknown no..
normal	Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...
fraud	URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220.
normal	Trust me. Even if isn't there, its there.
normal	you are sweet as well, princess. Please tell me your likes and dislikes in bed...
"normal	""alright babe"," justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."""
normal	Probably, want to pick up more?
normal	No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?
fraud	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. 
normal	Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?
fraud	FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk
normal	It's that time of the week again, ryan
normal	Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at
normal	Sorry im getting up now, feel really bad- totally rejected that kinda me thing.
normal	Carlos took a while (again), we leave in a minute
normal	Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.
normal	The table's occupied, I'm waiting by the tree
normal	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
normal	Nothing really, just making sure everybody's up to speed
normal	Thank you. And by the way, I just lost.
normal	Hiya, had a good day? Have you spoken to since the weekend?
normal	I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday
normal	Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea
normal	Not much, just some textin'. How bout you?
normal	(And my man carlos is definitely coming by mu tonight, no excuses)
normal	Hmm well, night night 
normal	Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!
normal	This is one of the days you have a billion classes, right?
normal	Goodmorning, today i am late for 2hrs. Because of back pain.
fraud	Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120
normal	Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...
normal	K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)
"normal	""Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel","u hav2hear it!c u sn xxxx"""
normal	Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.
fraud	Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154
normal	Just checked out, heading out to drop off my stuff now
normal	Haha awesome, I've been to 4u a couple times. Who all's coming?
normal	Sorry, I'll call later in meeting
normal	I hav almost reached. Call, i m unable to connect u.
normal	Velly good, yes please!
normal	Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
normal	HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.
normal	&lt;#&gt; , that's all? Guess that's easy enough
normal	Aight that'll work, thanks
normal	I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?
normal	Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........
fraud	URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm
normal	Alright, see you in a bit
normal	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
normal	Hi this is yijue, can i meet u at 11 tmr?
fraud	Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 
fraud	Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic
normal	Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.
fraud	Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
normal	That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? 
normal	Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho
normal	Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com
normal	Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.
normal	If i let you do this, i want you in the house by 8am.
normal	Sorry, I'll call later
fraud	Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p
normal	Thanks da thangam, i feel very very happy dear. I also miss you da.
normal	Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. 
normal	Babe, I'm back ... Come back to me ...
"normal	One of best dialogue in cute reltnship..!! ""Wen i Die", Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8
normal	Come to me right now, Ahmad
normal	Could you not read me, my Love ? I answered you
normal	Great. I'm in church now, will holla when i get out
normal	Yes but i dont care! I need you bad, princess!
normal	The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight
normal	Sorry, I'll call later
normal	Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?
normal	Cool, I'll text you when I'm on the way
normal	sry can't talk on phone, with parents
normal	Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!
normal	I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.
normal	Greetings me, ! Consider yourself excused.
normal	You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget
normal	I know where the  &lt;#&gt;  is, I'll be there around 5
normal	Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry
normal	U wake up already? What u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...
normal	Hello , who are you?
normal	Hello , how are  you??
normal	Yes, what is your name? 
normal	Yes, did the ticket come out?
normal	hello mother, what are you doing?
normal	Yes papa, where are you?
normal	Hello dada , How are you?
fraud	Sir, give me your ATM number.
fraud	Hello sir, you are ending ATM card validity today.  Please turn it on.
fraud	Hello sir, I am speaking from SBI Bank.  You want to open a new account.  So please share your Aadhaar number with us.
fraud	Hello sir, I am speaking from SBI Bank.  ₹ 5000 has been deducted from your account.  Please share your account number to withdraw it.
fraud	Sir, I am speaking from ICICI Bank.  Do you want to open your new account?
fraud	Hello sir, I am speaking from ICICI Bank.  Your ATM card date has expired.  Please share your Aadhaar number to run a new ATM card.
fraud	Sir, can I know your account number?
fraud	Hello sir, I am talking to LIC.  A new policy has come.  Would you like to have it.
fraud	Brother, how are you? I am speaking Raju.  Will you give me your atm card.
normal	If he tried to blackmail me, I would inform you.
normal	What I told you yesterday, is a secret.
normal	is you put this seat in your notebook ,you can refer to it.
normal	Hello Kavya, How are you? It’s been a long time we have met.
normal	Oh Hi Ankita, I am doing good. What about you?
normal	Oh, really. That’s a great company. What is your post there?
normal	But I think he deserved it. He looted as much as Rs 400, 000 from various people.
normal	There are many types of frauds, blackmailing and threats being done through the phones and internet.
normal	Oh hey, I didn’t see you there. Did you already get a table?
normal	Well, I’m sure you did great. Good luck.
normal	I can understand that. I get nervous before interviews, too.
fraud	Hello, I am from Maharashtra Police.  Your account number has been hacked.  Please share your account number with me
fraud	Hello, I am from Mumbai Police.  Your mobile number is used in crime.  Please share the data.
fraud	I am from ICICI Bank.  You have received an offer.  To avail this, a 4 digit otp has been placed on your mobile number.  Please share otp with me.
normal	I have been so busy with my new job that I have not had the time to do much else but otherwise, me and the family are all fine.
normal	Well, I’m going on well my studies. I am also worried about my exam.
normal	You know I’m weak in English. That’s why, I’m taking special care in English. I’m having a detailed revision in other subjects.
normal	I’m also fine, Jamia. We are in intermediate class. So we must choose our career now.
normal	That’s very good. Newspaper up hold people’s view, too. I have to go now.
fraud	Hello sir, i am from hdfc bank.
fraud	Hello sir ,I am from kotak mahindra bank bank.
fraud	Hello sir , i am from sbi bank.
fraud	Hello sir, I am from bank of baroda.
fraud	Hello sir , i am from corporation bank.
fraud	Hello sir , i am from panjab national bank.
fraud	Hello sir , i am from paytm bank.
fraud	Hello sir , I am from icici bank.
fraud	Dear 7977XXXX34, WIN 1st Prize of Rs. 2 Lakhs! Create your team for IND vs ENG 1st ODI on Paytm First Games & Win Up to Rs. 10 Cr. Click m.paytm.me/fnpt T&C.
normal	Sir, I want to know about necessity of learning English.
normal	But, why shall we learn it?
normal	Now, I think that everybody should learn English. Because we can not progress in life without learn it.
normal	Thank you sir, for your advices.
normal	Yeah right. So Arjun, where do you come from?
normal	I hail from Chandigarh, where my family lives.
normal	I am from Delhi itself. I put up in East Delhi, near Anand Vihar. I stay with my family.
normal	Yes, metro is the best option for students.
normal	Hello Jane, It's nice to see you too. I've been busy in preparing for my engineering entrance examinations.
normal	I've always had a natural inclination towards a mechanical occupation, so I want to become an engineer. What are you going to do?
normal	Hope to see you soon. Wish you all the best in all your endeavors, Jane.
normal	Everything is good, sir. My final semester exams of MBA are complete and I want some tricks and tips to crack the job interviews.
normal	A couple of them will be campus interviews, organized by the training and placement cell. But the majority are off-campus.
normal	Yes sir, please tell me. I will be taking notes.
normal	The first round is usually a written or aptitude test. It can also be a technical test based on your domain expertise. Before anything else, you need to clear this round. I hope your CV has been peer-reviewed already?
normal	Yes, I have created a resume. I hope it does the job.
normal	Yes sir, I know that. The CV is a long version while the resume is a short one!
normal	I will certainly do that. In fact, I have signed up for some mock interview sessions with Pep Talk India to give my best shot!
normal	You need to pay attention to your clothing. Be formally dressed, even if a company says that it has a very flexible and free culture. It show a sense of professionalism from you.
normal	Sounds great, thank you so much!
normal	Sorry, I'll call later
normal	Sorry, I'll call later
normal	Sorry, I'll call later
normal	Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again
normal	They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.
normal	She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.
normal	Oh fine, I'll be by tonight
fraud	FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)
normal	Some friends want me to drive em someplace, probably take a while
normal	Yeah I am, so I'll leave maybe 7ish?
normal	The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel
normal	Goodmorning, today i am late for 1hr.
normal	Aight, see you in a bit
normal	My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?
normal	Gosh that , what a pain. Spose I better come then.
normal	As usual..iam fine, happy &amp; doing well..:)
normal	Awesome, text me when you're restocked
normal	As usual..iam fine, happy &amp; doing well..:)
normal	Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.
normal	That's what I love to hear :V see you sundayish, then
normal	Sorry da thangam, very very sorry i am held up with prasad.
fraud	You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18
normal	They can try! They can get lost, in fact. Tee hee
normal	Sorry, I'll call later
normal	Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.
normal	You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management
fraud	Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
normal	That's cool, I'll come by like  &lt;#&gt; ish
fraud	New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message
fraud	Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm
normal	Omw back to tampa from west palm, you hear what happened?
normal	Nah, I'm a perpetual DD
normal	Tunde, how are you doing. This is just wishing you a great day. Abiola.
normal	I sent you the prices and do you mean the  &lt;#&gt; g,
normal	Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with
normal	Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...
normal	Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!
normal	Dude u knw also telugu..thts gud..k, gud nyt..
fraud	For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.
normal	Just arrived, see you in a couple days &lt;3
normal	K, wat s tht incident?
normal	Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?
normal	Alright if you're sure, let me know when you're leaving
normal	Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!
normal	Easy mate, * guess the quick drink was bit ambitious.
normal	Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.
fraud	Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply
fraud	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call
normal	Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
normal	Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.
normal	Aight, tomorrow around  &lt;#&gt;  it is
fraud	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.
fraud	Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX
normal	Yeah there's quite a bit left, I'll swing by tomorrow when I get up
fraud	pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL
normal	Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.
normal	Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.
normal	Sorry,in meeting I'll call later
normal	Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx
normal	Yo, any way we could pick something up tonight?
normal	Yeah, we got one lined up for us
fraud	URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011
normal	Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.
fraud	Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?
normal	Are you being good, baby? :)
normal	Mostly sports type..lyk footbl,crckt..
"normal	Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students",this wont even start........ Datz confidence..
normal	I'll text carlos and let you know, hang on
normal	Don't worry, * is easy once have ingredients!
normal	Ok omw now, you at castor?
fraud	Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange.
normal	Tonight? Yeah, I'd be down for that
normal	He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! 
normal	I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz
fraud	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
normal	No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second
normal	Oh, then your phone phoned me but it disconnected
normal	Excellent, I'll see what riley's plans are
fraud	Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
normal	Hm good morning, headache anyone? :-)
normal	Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.
normal	Aight, lemme know what's up
normal	Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details
normal	Sounds good, keep me posted
normal	Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola
normal	And very importantly, all we discuss is between u and i only.
normal	Dear, take care. I am just reaching home.love u a lot.
normal	Yo, you at jp and hungry like a mofo?
normal	U so lousy, run already come back then half dead... Hee...
normal	I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.
"normal	Short But Cute : "" Be a good person "," but dont try to prove"" ..... Gud mrng..."
normal	Wat time liao, where still got.
normal	Haha better late than ever, any way I could swing by?
fraud	LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.
normal	Haha I heard that, text me when you're around
normal	Sorry,  in meeting I'll call you later
fraud	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
normal	Haven't seen my facebook, huh? Lol!
normal	Mah b, I'll pick it up tomorrow
normal	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da
fraud	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
normal	OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx
normal	Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?
fraud	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180
normal	I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?
normal	Yes, princess. Toledo.
normal	Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me
"normal	A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd"," but watever u shared should be true""...."
normal	Sorry, I can't help you on this.
normal	Babe, I need your advice
normal	I‘ll leave around four, ok?
fraud	44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
normal	MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night
normal	The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard
fraud	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p 
normal	Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)
normal	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
normal	It'll be tough, but I'll do what I have to
normal	Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!
fraud	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
normal	No worries, hope photo shoot went well. have a spiffing fun at workage. 
normal	No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore
fraud	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P
normal	That's fine, have him give me a call if he knows what he wants or has any questions
normal	K, if u bored up just come to my home..
normal	Like I made him throw up when we were smoking in our friend's car one time, it was awesome
normal	Sorry, I'll call later
normal	Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..
normal	Yo my trip got postponed, you still stocked up?
normal	Sorry, I'll call later
normal	Hey elaine, is today's meeting still on?
normal	Looks like you found something to do other than smoke, great job!
normal	Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea
fraud	complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+
normal	Well, I meant as opposed to my drunken night of before
normal	Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x
normal	I'm in a meeting, call me later at
normal	Yeah we wouldn't leave for an hour at least, how's 4 sound?
normal	Jus chillaxin, what up
normal	Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! 
normal	Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna
normal	K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...
normal	Haha figures, well I found the piece and priscilla's bowl
normal	I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there.
normal	, how's things? Just a quick question.
normal	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
normal	I can probably come by, everybody's done around  &lt;#&gt;  right?
normal	Yeah, probably earlier than that
normal	Cool, text me when you head out
fraud	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P
normal	Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served
normal	life alle mone,eppolum oru pole allalo
normal	Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?
normal	Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx
fraud	You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE
normal	Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?
normal	Sorry, I'll call later
normal	I'll get there at 3, unless you guys want me to come some time sooner
"normal	Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but", don't miss ur best life for anything... Gud nyt...
normal	I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like
normal	Dad wanted to talk about the apartment so I got a late start, omw now
normal	We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-
normal	The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL
normal	Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning
normal	Sorry, I'll call later
normal	Aight, we'll head out in a few
normal	Jay told me already, will do
